timestamp,,power,error
46:29.8,1.00,0.000942,-0.008058
46:30.9,2.00,0.000942,-0.008058
46:31.9,3.00,0.000942,-0.008058
46:32.9,4.00,0.000942,-0.008058
46:33.9,5.00,0.000942,-0.008058
46:34.9,6.00,0.000942,-0.008058
46:35.9,7.00,0.000942,-0.008058
46:37.0,8.00,0.000942,-0.008058
46:38.0,9.00,0.000942,-0.008058
46:39.0,10.00,0.000942,-0.008058
46:40.0,11.00,0.000942,-0.008058
46:41.0,12.00,0.000942,-0.008058
46:42.1,13.00,0.000942,-0.008058
46:43.1,14.00,0.000942,-0.008058
46:44.1,15.00,0.000942,-0.008058
46:45.1,16.00,0.000942,-0.008058
46:46.1,17.00,0.000942,-0.008058
46:47.1,18.00,0.000942,-0.008058
46:48.1,19.00,0.000942,-0.008058
46:49.2,20.00,0.000943,-0.008057
46:50.2,21.00,0.000942,-0.008058
46:51.2,22.00,0.000942,-0.008058
46:52.2,23.00,0.000942,-0.008058
46:53.2,24.00,0.000942,-0.008058
46:54.2,25.00,0.000943,-0.008057
46:55.2,26.00,0.000942,-0.008058
46:56.2,27.00,0.000943,-0.008057
46:57.3,28.00,0.000943,-0.008057
46:58.3,29.00,0.000943,-0.008057
46:59.3,30.00,0.000943,-0.008057
47:00.3,31.00,0.000942,-0.008058
47:01.3,32.00,0.000943,-0.008057
47:02.4,33.00,0.000942,-0.008058
47:03.4,34.00,0.000943,-0.008057
47:04.4,35.00,0.000943,-0.008057
47:05.4,36.00,0.000943,-0.008057
47:06.4,37.00,0.000943,-0.008057
47:07.4,38.00,0.000943,-0.008057
47:08.5,39.00,0.000943,-0.008057
47:09.5,40.00,0.000943,-0.008057
47:10.5,41.00,0.000943,-0.008057
47:11.5,42.00,0.000943,-0.008057
47:12.5,43.00,0.000943,-0.008057
47:13.5,44.00,0.000943,-0.008057
47:14.5,45.00,0.000943,-0.008057
47:15.6,46.00,0.000943,-0.008057
47:16.6,47.00,0.000943,-0.008057
47:17.6,48.00,0.000943,-0.008057
47:18.6,49.00,0.000943,-0.008057
47:19.6,50.00,0.000943,-0.008057
47:20.6,51.00,0.000943,-0.008057
47:21.6,52.00,0.000943,-0.008057
47:22.6,53.00,0.000943,-0.008057
47:23.7,54.00,0.000943,-0.008057
47:24.7,55.00,0.000943,-0.008057
47:25.7,56.00,0.000943,-0.008057
47:26.7,57.00,0.000943,-0.008057
47:27.7,58.00,0.000943,-0.008057
47:28.8,59.00,0.000943,-0.008057
47:29.8,60.00,0.000943,-0.008057
47:30.8,61.00,0.000943,-0.008057
47:31.8,62.00,0.000943,-0.008057
47:32.8,63.00,0.000943,-0.008057
47:33.8,64.00,0.000943,-0.008057
47:34.9,65.00,0.000943,-0.008057
47:35.9,66.00,0.000943,-0.008057
47:36.9,67.00,0.000943,-0.008057
47:37.9,68.00,0.000943,-0.008057
47:38.9,69.00,0.000943,-0.008057
47:40.0,70.00,0.000943,-0.008057
47:41.0,71.00,0.000943,-0.008057
47:42.0,72.00,0.000943,-0.008057
47:43.0,73.00,0.000943,-0.008057
47:44.0,74.00,0.000943,-0.008057
47:45.0,75.00,0.000943,-0.008057
47:46.0,76.00,0.000943,-0.008057
47:47.1,77.00,0.000943,-0.008057
47:48.1,78.00,0.000943,-0.008057
47:49.1,79.00,0.000943,-0.008057
47:50.1,80.00,0.000943,-0.008057
47:51.1,81.00,0.000943,-0.008057
47:52.2,82.00,0.000943,-0.008057
47:53.2,83.00,0.000943,-0.008057
47:54.2,84.00,0.000943,-0.008057
47:55.2,85.00,0.000943,-0.008057
47:56.2,86.00,0.000943,-0.008057
47:57.3,87.00,0.000943,-0.008057
47:58.3,88.00,0.000943,-0.008057
47:59.3,89.00,0.000943,-0.008057
48:00.3,90.00,0.000943,-0.008057
48:01.3,91.00,0.000943,-0.008057
48:02.4,92.00,0.000943,-0.008057
48:03.4,93.00,0.000943,-0.008057
48:04.4,94.00,0.000943,-0.008057
48:05.4,95.00,0.000943,-0.008057
48:06.4,96.00,0.000943,-0.008057
48:07.4,97.00,0.000943,-0.008057
48:08.4,98.00,0.000943,-0.008057
48:09.4,99.00,0.000943,-0.008057
48:10.5,100.00,0.000943,-0.008057
48:11.5,101.00,0.000943,-0.008057
48:12.5,102.00,0.000943,-0.008057
48:13.5,103.00,0.000943,-0.008057
48:14.5,104.00,0.000943,-0.008057
48:15.6,105.00,0.000943,-0.008057
48:16.6,106.00,0.000943,-0.008057
48:17.6,107.00,0.000943,-0.008057
48:18.6,108.00,0.000943,-0.008057
48:19.6,109.00,0.000943,-0.008057
48:20.6,110.00,0.000944,-0.008056
48:21.6,111.00,0.000943,-0.008057
48:22.6,112.00,0.000943,-0.008057
48:23.7,113.00,0.000944,-0.008056
48:24.7,114.00,0.000943,-0.008057
48:25.7,115.00,0.000943,-0.008057
48:26.7,116.00,0.000943,-0.008057
48:27.7,117.00,0.000943,-0.008057
48:28.7,118.00,0.000943,-0.008057
48:29.8,119.00,0.000943,-0.008057
48:30.8,120.00,0.000944,-0.008056
48:31.8,121.00,0.000943,-0.008057
48:32.8,122.00,0.000944,-0.008056
48:33.8,123.00,0.000943,-0.008057
48:34.9,124.00,0.000943,-0.008057
48:35.9,125.00,0.000943,-0.008057
48:36.9,126.00,0.000943,-0.008057
48:37.9,127.00,0.000944,-0.008056
48:38.9,128.00,0.000944,-0.008056
48:40.0,129.00,0.000944,-0.008056
48:41.0,130.00,0.000944,-0.008056
48:42.0,131.00,0.000944,-0.008056
48:43.0,132.00,0.000943,-0.008057
48:44.0,133.00,0.000943,-0.008057
48:45.1,134.00,0.000944,-0.008056
48:46.1,135.00,0.000944,-0.008056
48:47.1,136.00,0.000943,-0.008057
48:48.1,137.00,0.000944,-0.008056
48:49.1,138.00,0.000944,-0.008056
48:50.2,139.00,0.000944,-0.008056
48:51.2,140.00,0.000944,-0.008056
48:52.2,141.00,0.000943,-0.008057
48:53.2,142.00,0.000943,-0.008057
48:54.2,143.00,0.000944,-0.008056
48:55.2,144.00,0.000944,-0.008056
48:56.2,145.00,0.000944,-0.008056
48:57.3,146.00,0.000944,-0.008056
48:58.3,147.00,0.000944,-0.008056
48:59.3,148.00,0.000944,-0.008056
49:00.3,149.00,0.000944,-0.008056
49:01.3,150.00,0.000944,-0.008056
49:02.4,151.00,0.000943,-0.008057
49:03.4,152.00,0.000944,-0.008056
49:04.4,153.00,0.000944,-0.008056
49:05.4,154.00,0.000944,-0.008056
49:06.4,155.00,0.000944,-0.008056
49:07.4,156.00,0.000944,-0.008056
49:08.4,157.00,0.000944,-0.008056
49:09.4,158.00,0.000944,-0.008056
49:10.5,159.00,0.000944,-0.008056
49:11.5,160.00,0.000944,-0.008056
49:12.5,161.00,0.000944,-0.008056
49:13.5,162.00,0.000944,-0.008056
49:14.5,163.00,0.000944,-0.008056
49:15.6,164.00,0.000944,-0.008056
49:16.6,165.00,0.000944,-0.008056
49:17.6,166.00,0.000944,-0.008056
49:18.6,167.00,0.000944,-0.008056
49:19.6,168.00,0.000944,-0.008056
49:20.7,169.00,0.000944,-0.008056
49:21.7,170.00,0.000944,-0.008056
49:22.7,171.00,0.000944,-0.008056
49:23.7,172.00,0.000944,-0.008056
49:24.7,173.00,0.000944,-0.008056
49:25.8,174.00,0.000944,-0.008056
49:26.8,175.00,0.000944,-0.008056
49:27.8,176.00,0.000944,-0.008056
49:28.8,177.00,0.000944,-0.008056
49:29.8,178.00,0.000944,-0.008056
49:30.8,179.00,0.000944,-0.008056
49:31.8,180.00,0.000944,-0.008056
49:32.8,181.00,0.000944,-0.008056
49:33.9,182.00,0.000944,-0.008056
49:34.9,183.00,0.000944,-0.008056
49:35.9,184.00,0.000944,-0.008056
49:36.9,185.00,0.000944,-0.008056
49:37.9,186.00,0.000944,-0.008056
49:39.0,187.00,0.000944,-0.008056
49:40.0,188.00,0.000944,-0.008056
49:41.0,189.00,0.000944,-0.008056
49:42.0,190.00,0.000944,-0.008056
49:43.0,191.00,0.000944,-0.008056
49:44.0,192.00,0.000944,-0.008056
49:45.0,193.00,0.000944,-0.008056
49:46.0,194.00,0.000944,-0.008056
49:47.1,195.00,0.000944,-0.008056
49:48.1,196.00,0.000944,-0.008056
49:49.1,197.00,0.000944,-0.008056
49:50.1,198.00,0.000944,-0.008056
49:51.1,199.00,0.000944,-0.008056
