timestamp,,power,error
46:29.8,1,0.000942,-0.008058
46:30.9,2,0.000942,-0.008058
46:31.9,3,0.000942,-0.008058
46:32.9,4,0.000942,-0.008058
46:33.9,5,0.000942,-0.008058
46:34.9,6,0.000942,-0.008058
46:35.9,7,0.000942,-0.008058
46:37.0,8,0.000942,-0.008058
46:38.0,9,0.000942,-0.008058
46:39.0,10,0.000942,-0.008058
46:40.0,11,0.000942,-0.008058
46:41.0,12,0.000942,-0.008058
46:42.1,13,0.000942,-0.008058
46:43.1,14,0.000942,-0.008058
46:44.1,15,0.000942,-0.008058
46:45.1,16,0.000942,-0.008058
46:46.1,17,0.000942,-0.008058
46:47.1,18,0.000942,-0.008058
46:48.1,19,0.000942,-0.008058
46:49.2,20,0.000943,-0.008057
46:50.2,21,0.000942,-0.008058
46:51.2,22,0.000942,-0.008058
46:52.2,23,0.000942,-0.008058
46:53.2,24,0.000942,-0.008058
46:54.2,25,0.000943,-0.008057
46:55.2,26,0.000942,-0.008058
46:56.2,27,0.000943,-0.008057
46:57.3,28,0.000943,-0.008057
46:58.3,29,0.000943,-0.008057
46:59.3,30,0.000943,-0.008057
47:00.3,31,0.000942,-0.008058
47:01.3,32,0.000943,-0.008057
47:02.4,33,0.000942,-0.008058
47:03.4,34,0.000943,-0.008057
47:04.4,35,0.000943,-0.008057
47:05.4,36,0.000943,-0.008057
47:06.4,37,0.000943,-0.008057
47:07.4,38,0.000943,-0.008057
47:08.5,39,0.000943,-0.008057
47:09.5,40,0.000943,-0.008057
47:10.5,41,0.000943,-0.008057
47:11.5,42,0.000943,-0.008057
47:12.5,43,0.000943,-0.008057
47:13.5,44,0.000943,-0.008057
47:14.5,45,0.000943,-0.008057
47:15.6,46,0.000943,-0.008057
47:16.6,47,0.000943,-0.008057
47:17.6,48,0.000943,-0.008057
47:18.6,49,0.000943,-0.008057
47:19.6,50,0.000943,-0.008057
47:20.6,51,0.000943,-0.008057
47:21.6,52,0.000943,-0.008057
47:22.6,53,0.000943,-0.008057
47:23.7,54,0.000943,-0.008057
47:24.7,55,0.000943,-0.008057
47:25.7,56,0.000943,-0.008057
47:26.7,57,0.000943,-0.008057
47:27.7,58,0.000943,-0.008057
47:28.8,59,0.000943,-0.008057
47:29.8,60,0.000943,-0.008057
47:30.8,61,0.000943,-0.008057
47:31.8,62,0.000943,-0.008057
47:32.8,63,0.000943,-0.008057
47:33.8,64,0.000943,-0.008057
47:34.9,65,0.000943,-0.008057
47:35.9,66,0.000943,-0.008057
47:36.9,67,0.000943,-0.008057
47:37.9,68,0.000943,-0.008057
47:38.9,69,0.000943,-0.008057
47:40.0,70,0.000943,-0.008057
47:41.0,71,0.000943,-0.008057
47:42.0,72,0.000943,-0.008057
47:43.0,73,0.000943,-0.008057
47:44.0,74,0.000943,-0.008057
47:45.0,75,0.000943,-0.008057
47:46.0,76,0.000943,-0.008057
47:47.1,77,0.000943,-0.008057
47:48.1,78,0.000943,-0.008057
47:49.1,79,0.000943,-0.008057
47:50.1,80,0.000943,-0.008057
47:51.1,81,0.000943,-0.008057
47:52.2,82,0.000943,-0.008057
47:53.2,83,0.000943,-0.008057
47:54.2,84,0.000943,-0.008057
47:55.2,85,0.000943,-0.008057
47:56.2,86,0.000943,-0.008057
47:57.3,87,0.000943,-0.008057
47:58.3,88,0.000943,-0.008057
47:59.3,89,0.000943,-0.008057
48:00.3,90,0.000943,-0.008057
48:01.3,91,0.000943,-0.008057
48:02.4,92,0.000943,-0.008057
48:03.4,93,0.000943,-0.008057
48:04.4,94,0.000943,-0.008057
48:05.4,95,0.000943,-0.008057
48:06.4,96,0.000943,-0.008057
48:07.4,97,0.000943,-0.008057
48:08.4,98,0.000943,-0.008057
48:09.4,99,0.000943,-0.008057
48:10.5,100,0.000943,-0.008057
48:11.5,101,0.000943,-0.008057
48:12.5,102,0.000943,-0.008057
48:13.5,103,0.000943,-0.008057
48:14.5,104,0.000943,-0.008057
48:15.6,105,0.000943,-0.008057
48:16.6,106,0.000943,-0.008057
48:17.6,107,0.000943,-0.008057
48:18.6,108,0.000943,-0.008057
48:19.6,109,0.000943,-0.008057
48:20.6,110,0.000944,-0.008056
48:21.6,111,0.000943,-0.008057
48:22.6,112,0.000943,-0.008057
48:23.7,113,0.000944,-0.008056
48:24.7,114,0.000943,-0.008057
48:25.7,115,0.000943,-0.008057
48:26.7,116,0.000943,-0.008057
48:27.7,117,0.000943,-0.008057
48:28.7,118,0.000943,-0.008057
48:29.8,119,0.000943,-0.008057
48:30.8,120,0.000944,-0.008056
48:31.8,121,0.000943,-0.008057
48:32.8,122,0.000944,-0.008056
48:33.8,123,0.000943,-0.008057
48:34.9,124,0.000943,-0.008057
48:35.9,125,0.000943,-0.008057
48:36.9,126,0.000943,-0.008057
48:37.9,127,0.000944,-0.008056
48:38.9,128,0.000944,-0.008056
48:40.0,129,0.000944,-0.008056
48:41.0,130,0.000944,-0.008056
48:42.0,131,0.000944,-0.008056
48:43.0,132,0.000943,-0.008057
48:44.0,133,0.000943,-0.008057
48:45.1,134,0.000944,-0.008056
48:46.1,135,0.000944,-0.008056
48:47.1,136,0.000943,-0.008057
48:48.1,137,0.000944,-0.008056
48:49.1,138,0.000944,-0.008056
48:50.2,139,0.000944,-0.008056
48:51.2,140,0.000944,-0.008056
48:52.2,141,0.000943,-0.008057
48:53.2,142,0.000943,-0.008057
48:54.2,143,0.000944,-0.008056
48:55.2,144,0.000944,-0.008056
48:56.2,145,0.000944,-0.008056
48:57.3,146,0.000944,-0.008056
48:58.3,147,0.000944,-0.008056
48:59.3,148,0.000944,-0.008056
49:00.3,149,0.000944,-0.008056
49:01.3,150,0.000944,-0.008056
49:02.4,151,0.000943,-0.008057
49:03.4,152,0.000944,-0.008056
49:04.4,153,0.000944,-0.008056
49:05.4,154,0.000944,-0.008056
49:06.4,155,0.000944,-0.008056
49:07.4,156,0.000944,-0.008056
49:08.4,157,0.000944,-0.008056
49:09.4,158,0.000944,-0.008056
49:10.5,159,0.000944,-0.008056
49:11.5,160,0.000944,-0.008056
49:12.5,161,0.000944,-0.008056
49:13.5,162,0.000944,-0.008056
49:14.5,163,0.000944,-0.008056
49:15.6,164,0.000944,-0.008056
49:16.6,165,0.000944,-0.008056
49:17.6,166,0.000944,-0.008056
49:18.6,167,0.000944,-0.008056
49:19.6,168,0.000944,-0.008056
49:20.7,169,0.000944,-0.008056
49:21.7,170,0.000944,-0.008056
49:22.7,171,0.000944,-0.008056
49:23.7,172,0.000944,-0.008056
49:24.7,173,0.000944,-0.008056
49:25.8,174,0.000944,-0.008056
49:26.8,175,0.000944,-0.008056
49:27.8,176,0.000944,-0.008056
49:28.8,177,0.000944,-0.008056
