timestamp,power,error
26:01.9,0.000902,-0.008098
26:03.0,0.000902,-0.008098
26:04.0,0.000902,-0.008098
26:05.0,0.000903,-0.008097
26:06.0,0.000903,-0.008097
26:07.0,0.000903,-0.008097
26:08.1,0.000903,-0.008097
26:09.1,0.000903,-0.008097
26:10.1,0.000903,-0.008097
26:11.1,0.000904,-0.008096
26:12.1,0.000904,-0.008096
26:13.1,0.000904,-0.008096
26:14.1,0.000904,-0.008096
26:15.2,0.000905,-0.008095
26:16.2,0.000905,-0.008095
26:17.2,0.000905,-0.008095
26:18.2,0.000906,-0.008094
26:19.2,0.000906,-0.008094
26:20.3,0.000906,-0.008094
26:21.3,0.000906,-0.008094
26:22.3,0.000907,-0.008093
26:23.3,0.000907,-0.008093
26:24.3,0.000908,-0.008092
26:25.4,0.000908,-0.008092
26:26.4,0.000908,-0.008092
26:27.4,0.000908,-0.008092
26:28.4,0.000909,-0.008091
26:29.4,0.000909,-0.008091
26:30.5,0.000909,-0.008091
26:31.5,0.000909,-0.008091
26:32.5,0.00091,-0.00809
26:33.5,0.00091,-0.00809
26:34.5,0.00091,-0.00809
26:35.5,0.000911,-0.008089
26:36.5,0.000911,-0.008089
26:37.6,0.000911,-0.008089
26:38.6,0.000912,-0.008088
26:39.6,0.000912,-0.008088
26:40.6,0.000912,-0.008088
26:41.6,0.000912,-0.008088
26:42.6,0.000913,-0.008087
26:43.7,0.000913,-0.008087
26:44.7,0.000913,-0.008087
26:45.7,0.000913,-0.008087
26:46.7,0.000914,-0.008086
26:47.7,0.000914,-0.008086
26:48.8,0.000914,-0.008086
26:49.8,0.000914,-0.008086
26:50.8,0.000914,-0.008086
26:51.8,0.000914,-0.008086
26:52.8,0.000915,-0.008085
26:53.8,0.000915,-0.008085
26:54.8,0.000915,-0.008085
26:55.8,0.000915,-0.008085
26:56.9,0.000916,-0.008084
26:57.9,0.000916,-0.008084
26:58.9,0.000916,-0.008084
26:59.9,0.000916,-0.008084
27:00.9,0.000916,-0.008084
27:01.9,0.000916,-0.008084
27:03.0,0.000916,-0.008084
27:04.0,0.000916,-0.008084
27:05.0,0.000917,-0.008083
27:06.0,0.000917,-0.008083
27:07.0,0.000917,-0.008083
27:08.0,0.000917,-0.008083
27:09.0,0.000917,-0.008083
27:10.0,0.000917,-0.008083
27:11.1,0.000917,-0.008083
27:12.1,0.000917,-0.008083
27:13.1,0.000917,-0.008083
27:14.1,0.000917,-0.008083
27:15.1,0.000917,-0.008083
27:16.1,0.000917,-0.008083
27:17.1,0.000917,-0.008083
27:18.1,0.000917,-0.008083
27:19.2,0.000917,-0.008083
27:20.2,0.000917,-0.008083
27:21.2,0.000918,-0.008082
27:22.2,0.000917,-0.008083
27:23.3,0.000917,-0.008083
27:24.3,0.000917,-0.008083
27:25.3,0.000917,-0.008083
27:26.3,0.000917,-0.008083
27:27.3,0.000917,-0.008083
27:28.3,0.000917,-0.008083
27:29.3,0.000917,-0.008083
27:30.3,0.000917,-0.008083
27:31.4,0.000917,-0.008083
27:32.4,0.000917,-0.008083
27:33.4,0.000917,-0.008083
27:34.4,0.000917,-0.008083
27:35.4,0.000917,-0.008083
27:36.5,0.000917,-0.008083
27:37.5,0.000917,-0.008083
27:38.5,0.000917,-0.008083
27:39.5,0.000917,-0.008083
27:40.5,0.000917,-0.008083
27:41.5,0.000917,-0.008083
27:42.6,0.000918,-0.008082
27:43.6,0.000917,-0.008083
27:44.6,0.000918,-0.008082
27:45.6,0.000918,-0.008082
27:46.6,0.000918,-0.008082
27:47.7,0.000918,-0.008082
27:48.7,0.000918,-0.008082
27:49.7,0.000918,-0.008082
27:50.7,0.000918,-0.008082
27:51.7,0.000918,-0.008082
27:52.7,0.000918,-0.008082
27:53.7,0.000918,-0.008082
27:54.7,0.000919,-0.008081
27:55.7,0.000918,-0.008082
27:56.8,0.000918,-0.008082
27:57.8,0.000918,-0.008082
27:58.8,0.000918,-0.008082
27:59.8,0.000919,-0.008081
28:00.8,0.000919,-0.008081
28:01.8,0.000919,-0.008081
28:02.9,0.000919,-0.008081
28:03.9,0.000919,-0.008081
28:04.9,0.000919,-0.008081
28:05.9,0.000919,-0.008081
28:06.9,0.00092,-0.00808
28:07.9,0.000919,-0.008081
28:09.0,0.000919,-0.008081
28:10.0,0.00092,-0.00808
28:11.0,0.00092,-0.00808
28:12.0,0.00092,-0.00808
28:13.0,0.00092,-0.00808
28:14.1,0.00092,-0.00808
28:15.1,0.00092,-0.00808
28:16.1,0.00092,-0.00808
28:17.1,0.00092,-0.00808
28:18.1,0.00092,-0.00808
28:19.1,0.00092,-0.00808
28:20.2,0.00092,-0.00808
28:21.2,0.00092,-0.00808
28:22.2,0.000921,-0.008079
28:23.2,0.000921,-0.008079
28:24.3,0.000921,-0.008079
28:25.3,0.000921,-0.008079
28:26.3,0.000921,-0.008079
28:27.3,0.000921,-0.008079
28:28.3,0.000921,-0.008079
28:29.4,0.000922,-0.008078
28:30.4,0.000922,-0.008078
28:31.4,0.000922,-0.008078
28:32.4,0.000923,-0.008077
28:33.4,0.000922,-0.008078
28:34.5,0.000923,-0.008077
28:35.5,0.000923,-0.008077
28:36.5,0.000923,-0.008077
28:37.5,0.000923,-0.008077
28:38.5,0.000923,-0.008077
28:39.6,0.000923,-0.008077
28:40.6,0.000923,-0.008077
28:41.6,0.000924,-0.008076
28:42.6,0.000924,-0.008076
28:43.6,0.000924,-0.008076
28:44.6,0.000924,-0.008076
28:45.6,0.000925,-0.008075
28:46.7,0.000924,-0.008076
28:47.7,0.000925,-0.008075
28:48.7,0.000925,-0.008075
28:49.7,0.000925,-0.008075
28:50.7,0.000925,-0.008075
28:51.7,0.000925,-0.008075
28:52.8,0.000926,-0.008074
28:53.8,0.000926,-0.008074
28:54.8,0.000926,-0.008074
28:55.8,0.000926,-0.008074
28:56.8,0.000926,-0.008074
28:57.8,0.000926,-0.008074
28:58.9,0.000926,-0.008074
28:59.9,0.000926,-0.008074
29:00.9,0.000926,-0.008074
29:01.9,0.000926,-0.008074
29:02.9,0.000927,-0.008073
29:03.9,0.000927,-0.008073
29:05.0,0.000927,-0.008073
29:06.0,0.000927,-0.008073
29:07.0,0.000927,-0.008073
29:08.0,0.000927,-0.008073
29:09.0,0.000927,-0.008073
29:10.0,0.000927,-0.008073
29:11.1,0.000927,-0.008073
29:12.1,0.000928,-0.008072
29:13.1,0.000928,-0.008072
29:14.1,0.000928,-0.008072
29:15.1,0.000928,-0.008072
29:16.2,0.000928,-0.008072
29:17.2,0.000928,-0.008072
29:18.2,0.000928,-0.008072
29:19.2,0.000928,-0.008072
29:20.2,0.000928,-0.008072
29:21.2,0.000928,-0.008072
29:22.3,0.000928,-0.008072
29:23.3,0.000928,-0.008072
29:24.3,0.000928,-0.008072
29:25.3,0.000929,-0.008071
29:26.3,0.000929,-0.008071
29:27.4,0.000929,-0.008071
29:28.4,0.000929,-0.008071
29:29.4,0.000929,-0.008071
29:30.4,0.000929,-0.008071
29:31.4,0.000929,-0.008071
29:32.4,0.000929,-0.008071
29:33.4,0.000929,-0.008071
29:34.5,0.000929,-0.008071
29:35.5,0.000929,-0.008071
29:36.5,0.000929,-0.008071
29:37.5,0.000929,-0.008071
29:38.5,0.00093,-0.00807
29:39.5,0.000929,-0.008071
29:40.6,0.00093,-0.00807
29:41.6,0.000929,-0.008071
29:42.6,0.000929,-0.008071
29:43.7,0.00093,-0.00807
29:44.7,0.00093,-0.00807
29:45.7,0.00093,-0.00807
29:46.7,0.00093,-0.00807
29:47.7,0.000929,-0.008071
29:48.7,0.000929,-0.008071
29:49.8,0.000929,-0.008071
29:50.8,0.000929,-0.008071
29:51.8,0.000929,-0.008071
29:52.8,0.000929,-0.008071
29:53.8,0.000929,-0.008071
29:54.8,0.000929,-0.008071
29:55.8,0.000929,-0.008071
29:56.8,0.000929,-0.008071
29:57.9,0.000929,-0.008071
29:58.9,0.000929,-0.008071
29:59.9,0.000929,-0.008071
30:00.9,0.000929,-0.008071
30:01.9,0.000929,-0.008071
30:02.9,0.000929,-0.008071
30:04.0,0.000929,-0.008071
30:05.0,0.000929,-0.008071
30:06.0,0.000929,-0.008071
30:07.0,0.000929,-0.008071
30:08.1,0.000929,-0.008071
30:09.1,0.000929,-0.008071
30:10.1,0.000929,-0.008071
30:11.1,0.000929,-0.008071
30:12.1,0.000929,-0.008071
30:13.2,0.000929,-0.008071
30:14.2,0.000929,-0.008071
30:15.2,0.000929,-0.008071
30:16.2,0.000929,-0.008071
30:17.2,0.000929,-0.008071
30:18.3,0.000929,-0.008071
30:19.3,0.000929,-0.008071
30:20.3,0.000929,-0.008071
30:21.3,0.000929,-0.008071
30:22.3,0.000929,-0.008071
30:23.4,0.000929,-0.008071
30:24.4,0.000929,-0.008071
30:25.4,0.000929,-0.008071
30:26.4,0.000929,-0.008071
30:27.4,0.000929,-0.008071
30:28.5,0.000929,-0.008071
30:29.5,0.000929,-0.008071
30:30.5,0.000929,-0.008071
30:31.5,0.00093,-0.00807
30:32.5,0.000929,-0.008071
30:33.5,0.00093,-0.00807
30:34.5,0.000929,-0.008071
30:35.6,0.00093,-0.00807
30:36.6,0.00093,-0.00807
30:37.6,0.000929,-0.008071
30:38.6,0.000929,-0.008071
30:39.6,0.00093,-0.00807
30:40.6,0.00093,-0.00807
30:41.7,0.00093,-0.00807
30:42.7,0.00093,-0.00807
30:43.7,0.00093,-0.00807
30:44.7,0.00093,-0.00807
30:45.7,0.00093,-0.00807
30:46.8,0.00093,-0.00807
30:47.8,0.00093,-0.00807
30:48.8,0.00093,-0.00807
30:49.8,0.00093,-0.00807
30:50.8,0.00093,-0.00807
30:51.9,0.00093,-0.00807
30:52.9,0.00093,-0.00807
30:53.9,0.00093,-0.00807
30:54.9,0.00093,-0.00807
30:56.0,0.00093,-0.00807
30:57.0,0.00093,-0.00807
30:58.0,0.00093,-0.00807
30:59.0,0.000931,-0.008069
31:00.0,0.000931,-0.008069
31:01.0,0.000931,-0.008069
31:02.1,0.00093,-0.00807
31:03.1,0.000931,-0.008069
31:04.1,0.000931,-0.008069
31:05.1,0.00093,-0.00807
31:06.2,0.000931,-0.008069
31:07.2,0.000931,-0.008069
31:08.2,0.000931,-0.008069
31:09.2,0.000931,-0.008069
31:10.2,0.000931,-0.008069
31:11.2,0.000931,-0.008069
31:12.3,0.000931,-0.008069
31:13.3,0.000931,-0.008069
31:14.3,0.000931,-0.008069
31:15.3,0.000931,-0.008069
31:16.3,0.000931,-0.008069
31:17.4,0.000931,-0.008069
31:18.4,0.000931,-0.008069
31:19.4,0.000931,-0.008069
31:20.4,0.000931,-0.008069
31:21.4,0.000931,-0.008069
31:22.5,0.000931,-0.008069
31:23.5,0.000931,-0.008069
31:24.5,0.000931,-0.008069
31:25.5,0.000932,-0.008068
31:26.5,0.000931,-0.008069
31:27.6,0.000932,-0.008068
31:28.6,0.000931,-0.008069
31:29.6,0.000931,-0.008069
31:30.6,0.000931,-0.008069
31:31.7,0.000932,-0.008068
31:32.7,0.000932,-0.008068
