Intensity recordings for experiment starting at 1e-05. readings every 4e-05 seconds
wanted Power experiment,power at power_meter,angle
1e-05,0.000946,42.000000
5e-05,0.000946,38.200000
8e-05,0.000946,36.400000
0.0001,0.000946,35.200000
0.00015,0.000946,33.000000
0.00016,0.000946,32.600000
0.00017,0.000946,32.200000
0.00018,0.000946,31.800000
0.00019,0.000946,31.400000
0.0002,0.000946,31.000000
0.0003,0.000946,27.400000
0.0004,0.000946,24.000000
0.0005,0.000946,20.800000
0.00055,0.000946,19.200000
0.00056,0.000946,19.000000
0.00057,0.000946,18.600000
0.00058,0.000946,18.200000
0.00059,0.000946,18.000000
0.0006,0.000946,17.600000
0.0007,0.000946,14.000000
0.0008,0.000946,9.600000
0.00085,0.000946,6.800000
0.00086,0.000946,6.000000
0.00087,0.000946,5.200000
0.00088,0.000946,4.200000
0.00089,0.000946,2.800000
0.0009,0.000946,0.000000
0.00095,0.000946,0.000000
0.001,0.000946,0.000000
0.0015,0.000945,0.000000
0.002,0.000946,0.000000
0.005,0.000946,0.000000
